"";"Ubicac.técnica";"Equipo";"Tipo.de.equipo";"Equipo.superior";"Eq.padre";"Sistema";"Comp"
"63";"1003-SUP-ELIV-CAMI-CAM3026";300000049;"V";"0";"300000049";"0";"0"
"64";"1003-SUP-ELIV-CAMI-CAM3027";300000050;"V";"0";"300000050";"0";"0"
"65";"1003-SUP-ELIV-CAMI-CAM3028";300000051;"V";"0";"300000051";"0";"0"
"66";"1003-SUP-ELIV-CAMI-CAM3029";300000052;"V";"0";"300000052";"0";"0"
"67";"1003-SUP-ELIV-CAMI-CAM3030";300000053;"V";"0";"300000053";"0";"0"
"68";"1003-SUP-ELIV-CAMI-CAM3031";300000054;"V";"0";"300000054";"0";"0"
"69";"1003-SUP-ELIV-CAMI-CAM3032";300000055;"V";"0";"300000055";"0";"0"
"70";"1003-SUP-ELIV-CAMI-CAM3033";300000056;"V";"0";"300000056";"0";"0"
"71";"1003-SUP-ELIV-CAMO-CAN3001";300000057;"V";"0";"300000057";"0";"0"
"72";"1003-SUP-ELIV-CAMO-CAN3002";300000058;"V";"0";"300000058";"0";"0"
"73";"1003-SUP-ELIV-AMBU-AMB3001";300000059;"V";"0";"300000059";"0";"0"
"74";"1003-SUP-ELIV-OMNI-OMN3001";300000060;"V";"0";"300000060";"0";"0"
"75";"1003-SUP-EAUS-CAFR-CAR3101";300000061;"V";"0";"300000061";"0";"0"
"76";"1003-SUP-EAUS-CAFR-CAR3102";300000062;"V";"0";"300000062";"0";"0"
"77";"1003-SUP-EAUS-CAFR-CAR3103";300000063;"V";"0";"300000063";"0";"0"
"78";"1003-SUP-EAUS-RODI-ROD3101";300000064;"V";"0";"300000064";"0";"0"
"79";"1003-SUP-EAUS-TRAC-TRC3102";300000065;"V";"0";"300000065";"0";"0"
"80";"1003-SUP-EAUS-TRAC-TRC3101";300000066;"V";"0";"300000066";"0";"0"
"81";"1003-SUP-EAUS-MONT-MON3102";300000067;"V";"0";"300000067";"0";"0"
"82";"1003-SUP-EAUS-MONT-MON3104";300000068;"V";"0";"300000068";"0";"0"
"83";"1003-SUP-EAUS-MONT-MON3103";300000069;"V";"0";"300000069";"0";"0"
"84";"1003-SUP-EAUS-MONT-MON3101";300000070;"V";"0";"300000070";"0";"0"
"85";"1003-SUP-EAUS-MONT-MON3105";300000071;"V";"0";"300000071";"0";"0"
"86";"1003-SUP-EAUS-MOTO-MTN3101";300000072;"V";"0";"300000072";"0";"0"
"87";"1003-GTE-GENE-CF01-GEN3001";300000073;"V";"0";"300000073";"0";"0"
"88";"1003-GTE-GENE-CF01-GEN3002";300000074;"V";"0";"300000074";"0";"0"
"89";"1003-GTE-GENE-CF02-GEN3001";300000075;"V";"0";"300000075";"0";"0"
"90";"1003-GTE-GENE-CF02-GEN3002";300000076;"V";"0";"300000076";"0";"0"
"91";"1003-GTE-GENE-CF02-GEN3003";300000077;"V";"0";"300000077";"0";"0"
"92";"1003-GTE-GENE-CF02-GEN3004";300000078;"V";"0";"300000078";"0";"0"
"93";"1003-GTE-GENE-CF02-GEN3005";300000079;"V";"0";"300000079";"0";"0"
"94";"1003-GTE-GENE-CF03-GEN3001";300000080;"V";"0";"300000080";"0";"0"
"95";"1003-SUP-EAUS-CUAT-CUA3101";300000081;"V";"0";"300000081";"0";"0"
"96";"1004-PL3-MCRO-MCR1-HOC0001";300000082;"V";"0";"300000082";"0";"0"
"97";"1004-PL3-MCRO-MCR1-HOC0002";300000083;"V";"0";"300000083";"0";"0"
"98";"1004-GTE-CF01-GENL-GEN0005";300000084;"V";"0";"300000084";"0";"0"
"99";"1004-GTE-CF01-GENL-GEN0002";300000085;"V";"0";"300000085";"0";"0"
"100";"1004-MI1-EAUM-MINI-MIN0003";300000086;"V";"0";"300000086";"0";"0"
"101";"1004-GTE-CF01-GENL-GEN0003";300000087;"V";"0";"300000087";"0";"0"
"102";"1004-GTE-CF01-GENL-GEN0004";300000088;"V";"0";"300000088";"0";"0"
"103";"1004-GTE-CF01-GENL-GEN0006";300000089;"V";"0";"300000089";"0";"0"
"104";"1004-GTE-CF01-GENL-GEN0001";300000090;"V";"0";"300000090";"0";"0"
"105";"1004-MI1-ESOS-DESA-DES0003";300000091;"V";"0";"300000091";"0";"0"
"106";"1004-MI1-ECAR-SCOO-SCO0028";300000092;"V";"0";"300000092";"0";"0"
"107";"1004-MI1-ESOS-EMPE-EMP0003";300000093;"V";"0";"300000093";"0";"0"
"108";"1004-MI1-ESOS-DESA-DES0002";300000094;"V";"0";"300000094";"0";"0"
"109";"1004-MI1-ECAR-SCOO-SCO0029";300000095;"V";"0";"300000095";"0";"0"
"110";"1004-MI1-ECAR-SCOO-SCO0031";300000096;"V";"0";"300000096";"0";"0"
"111";"1004-MI1-EPER-JUMB-JUM0007";300000097;"V";"0";"300000097";"0";"0"
"112";"1004-MI1-EAUM-TRAC-TRC0003";300000098;"V";"0";"300000098";"0";"0"
"113";"1004-SUP-EAUS-RODI-ROD0001";300000099;"V";"0";"300000099";"0";"0"
"114";"1004-MI1-ECAR-SCOO-SCO0041";300000100;"V";"0";"300000100";"0";"0"
"115";"1004-SUP-EAUS-MOTO-MOT0001";300000101;"V";"0";"300000101";"0";"0"
"116";"1004-MI1-EAUM-MINI-MIN0001";300000102;"V";"0";"300000102";"0";"0"
"117";"1004-SUP-EAUS-CAGR-CGR0001";300000103;"V";"0";"300000103";"0";"0"
"118";"1004-MI1-ESOS-EMPE-EMP0001";300000104;"V";"0";"300000104";"0";"0"
"119";"1004-MI1-ESOS-EMPE-EMP0002";300000105;"V";"0";"300000105";"0";"0"
"120";"1004-MI1-EPER-JUMB-JUM0011";300000106;"V";"0";"300000106";"0";"0"
"121";"1004-SUP-EAUS-MONT-MON0002";300000107;"V";"0";"300000107";"0";"0"
"122";"1004-SUP-EAUS-MONT-MON0001";300000108;"V";"0";"300000108";"0";"0"
"123";"1004-MI1-ECAR-SCOO-SCO0038";300000109;"V";"0";"300000109";"0";"0"
"124";"1004-MI1-ECAR-SCOO-SCO0032";300000110;"V";"0";"300000110";"0";"0"
"125";"1004-MI1-EPER-JUMB-JUM0009";300000111;"V";"0";"300000111";"0";"0"
"126";"1004-MI1-EAUM-ELEV-ELE0001";300000112;"V";"0";"300000112";"0";"0"
"127";"1004-MI1-EAUM-TRAC-TRC0004";300000113;"V";"0";"300000113";"0";"0"
"128";"1004-MI1-ECAR-SCOO-SCO0036";300000114;"V";"0";"300000114";"0";"0"
"129";"1004-MI1-EPER-JUMB-JUM0010";300000115;"V";"0";"300000115";"0";"0"
"130";"1004-MI1-EAUM-MINI-MIN0002";300000116;"V";"0";"300000116";"0";"0"
"131";"1005-MI1-ECAR-SCOO-SCO0002";300000117;"V";"0";"300000117";"0";"0"
"132";"1005-MI1-ECAR-SCOO-SCO0003";300000118;"V";"0";"300000118";"0";"0"
"133";"1005-MI1-ECAR-SCOO-SCO0004";300000119;"V";"0";"300000119";"0";"0"
"134";"1005-MI1-ECAR-SCOO-SCO0001";300000120;"V";"0";"300000120";"0";"0"
"135";"1005-MI1-EPER-EPTL-JUM0006";300000121;"V";"0";"300000121";"0";"0"
"136";"1005-MI1-EPER-EPTL-JUM0002";300000122;"V";"0";"300000122";"0";"0"
"137";"1005-MI1-EPER-EPTL-JUM0003";300000123;"V";"0";"300000123";"0";"0"
"138";"1005-MI1-ESOS-DESA-DES0001";300000124;"V";"0";"300000124";"0";"0"
"139";"1005-MI1-ESOS-DESA-DES0002";300000125;"V";"0";"300000125";"0";"0"
"140";"1005-MI1-ESOS-EMPE-EMP0002";300000126;"V";"0";"300000126";"0";"0"
"141";"1005-MI1-ESOS-EMPE-EMP0001";300000127;"V";"0";"300000127";"0";"0"
"142";"1005-SUP-EAUS-CAFR-CAR0001";300000128;"V";"0";"300000128";"0";"0"
"143";"1005-SUP-EAUS-CAFR-CAR0002";300000129;"V";"0";"300000129";"0";"0"
"144";"1005-SUP-EAUS-CAGR-CGR0001";300000130;"V";"0";"300000130";"0";"0"
"145";"1005-SUP-EAUS-CAGR-CGR0002";300000131;"V";"0";"300000131";"0";"0"
"146";"1005-SUP-EAUS-ELEV-ELE0001";300000132;"V";"0";"300000132";"0";"0"
"147";"1005-SUP-EAUS-MONT-MON0001";300000133;"V";"0";"300000133";"0";"0"
"148";"1005-SUP-ELIV-AMBU-AMB0001";300000134;"V";"0";"300000134";"0";"0"
"149";"1005-SUP-ELIV-CAMI-CAM0001";300000135;"V";"0";"300000135";"0";"0"
"150";"1005-SUP-ELIV-CAMI-CAM0006";300000136;"V";"0";"300000136";"0";"0"
"151";"1005-SUP-ELIV-CAMI-CAM0007";300000137;"V";"0";"300000137";"0";"0"
"152";"1005-SUP-ELIV-CAMI-CAM0008";300000138;"V";"0";"300000138";"0";"0"
"153";"1005-SUP-ELIV-CAMI-CAM0005";300000139;"V";"0";"300000139";"0";"0"
"154";"1005-SUP-ELIV-CAMI-CAM0004";300000140;"V";"0";"300000140";"0";"0"
"155";"1005-SUP-ELIV-CAMI-CAM0003";300000141;"V";"0";"300000141";"0";"0"
"156";"1005-SUP-ELIV-CAMI-CAM0011";300000142;"V";"0";"300000142";"0";"0"
"157";"1005-SUP-ELIV-CAMI-CAM0002";300000143;"V";"0";"300000143";"0";"0"
"158";"1005-SUP-ELIV-CAMI-CAM0010";300000144;"V";"0";"300000144";"0";"0"
"159";"1005-SUP-ELIV-CAMI-CAM0009";300000145;"V";"0";"300000145";"0";"0"
"160";"1005-SUP-ELIV-CAMI-CAM0012";300000146;"V";"0";"300000146";"0";"0"
"161";"1005-SUP-ELIV-CAMI-CAM0013";300000147;"V";"0";"300000147";"0";"0"
"162";"1005-SUP-ELIV-CAMI-CAM0014";300000148;"V";"0";"300000148";"0";"0"
"163";"8001-PL1-SAUP-AIND-GEN0001";300000149;"V";"0";"300000149";"0";"0"
"164";"8001-PL1-SAUP-EQUI-CGR0005";300000150;"V";"0";"300000150";"0";"0"
"165";"8001-PL1-SAUP-VEHI-CAM0010";300000151;"V";"0";"300000151";"0";"0"
"166";"8001-PL1-SAUP-VEHI-AMB0006";300000152;"V";"0";"300000152";"0";"0"
"167";"8001-PL1-SAUP-VEHI-CAM0009";300000153;"V";"0";"300000153";"0";"0"
"168";"8001-PL1-SAUP-VEHI-OMN0007";300000154;"V";"0";"300000154";"0";"0"
"169";"8001-PL1-SAUP-VEHI-CAM0008";300000155;"V";"0";"300000155";"0";"0"
"170";"8001-PL1-SAUP-EQUI-CAR0002";300000156;"V";"0";"300000156";"0";"0"
"171";"8001-PL1-SAUP-EQUI-MON0003";300000157;"V";"0";"300000157";"0";"0"
"172";"1001-MI2-ECAR-SCOO";300000158;"V";"0";"300000158";"0";"0"
"173";"1001-SUP-EAUS-CAFR-CAR0001";300000159;"V";"0";"300000159";"0";"0"
"174";"1001-SUP-EAUS-CAFR-CAR0002";300000160;"V";"0";"300000160";"0";"0"
"175";"1001-SUP-EAUS-MOTO-MOT0001";300000161;"V";"0";"300000161";"0";"0"
"176";"1001-SUP-EAUS-TRAC";300000162;"V";"0";"300000162";"0";"0"
"177";"1001-SUP-ELIV-CAMI-CAM0001";300000163;"V";"0";"300000163";"0";"0"
"178";"1001-SUP-ELIV-CAMI-CAM0002";300000164;"V";"0";"300000164";"0";"0"
"179";"1001-SUP-ELIV-CAMI-CAM0003";300000165;"V";"0";"300000165";"0";"0"
"180";"1001-SUP-ELIV-CAMI-CAM0004";300000166;"V";"0";"300000166";"0";"0"
"181";"1001-SUP-ELIV-CAMI-CAM0005";300000167;"V";"0";"300000167";"0";"0"
"182";"1001-SUP-ELIV-CAMI-CAM0006";300000168;"V";"0";"300000168";"0";"0"
"183";"1001-SUP-ELIV-CAMI-CAM0007";300000169;"V";"0";"300000169";"0";"0"
"184";"1001-SUP-ELIV-CAMI-CAM0008";300000170;"V";"0";"300000170";"0";"0"
"185";"1001-SUP-ELIV-CAMI-CAM0009";300000171;"V";"0";"300000171";"0";"0"
"186";"1001-SUP-ELIV-CAMI-CAM0010";300000172;"V";"0";"300000172";"0";"0"
"187";"1001-SUP-ELIV-CAMI-CAM0011";300000173;"V";"0";"300000173";"0";"0"
